A–os;Casas de construccion
1900;87
1901;29
1902;27
1903;46
1904;45
1905;74
1906;92
1907;65
1908;86
1909;94
1910;134
1911;73
1912;79
1913;59
1914;54
1915;64
1916;79
1917;56
1918;120
1919;88
1920;98
1921;76
1922;95
1923;84
1924;139
1925;165
1926;180
1927;115
1928;126
1929;114
1930;90
1931;61
1932;38
1933;30
1934;21
1935;24
1936;40
1937;68
1938;52
1939;106
1940;156
1941;161
1942;223
1943;170
1944;140
1945;95
1946;126
1947;263
1948;235
1949;195
1950;250
1951;229
1952;220
1953;223
1954;305
1955;271
1956;198
1957;198
1958;224
1959;334
1960;248
1961;224
1962;312
1963;256
1964;172
1965;187
1966;250
1967;350
1968;381
1969;280
1970;132
1971;104
1972;149
1973;149
1974;162
1975;189
1976;253
1977;417
1978;387
1979;343
1980;240
1981;199
1982;105
1983;212
1984;229
1985;228
1986;215
1987;294
1988;270
1989;290
1990;320
1991;224
1992;198
1993;202
1994;249
1995;169
1996;195
1997;177
1998;239
1999;265
2000;218
2001;305
2002;222
2003;422
2004;433
2005;450
2006;454
2007;417
2008;367
2009;230
2010;143
2011;130
2012;170
2013;201
2014;559
2015;38
